EVE_IDF,EVE_TITULO,EVE_DESCRICAO,EVE_PUBLICADO,EVE_DATA_INICIO,EVE_DATA_TERMINO,SEE_STR_NOME,EVE_DATA_CADASTRO,EVE_LOCAL,EVE_ENDERECO,EVE_HORARIO,EVE_REPETIR,EVE_DIA,BAI_DESCRICAO,ETE_DESCRICAO,ETI_DESCRICAO,REG_DESCRICAO,Dias,EVE_DESCRICAO_NORM
1685,Festa de Aniversário da Cidade e Aniversário da Rua da Cidadania.,FESTA DE ANIVERSÁRIO DA CIDADE DE CURITIBA ( 323 ANOS ); E FESTA DE ANIVERSÁRIO DA RUA DA CIDADANIA CARMO ( 21 ANOS ).,1,2016-03-20,2016-03-20,Secretaria do Governo Municipal,2016-03-01,Rua da Cidadania Carmo,Marechal Floriano Peixoto 8430,13H às 17H,1,1,Boqueirão,Eventos Regionais,Ambos,Boqueirão,19 days 00:00:00.000000000,festa aniversario cidade curitiba anos festa aniversario rua cidadania carmo anos
1686,Inauguração da Casa do Vovô,nan,1,2016-03-03,2016-03-03,Fundação de Ação Social,2016-03-01,Casa do Vovô,Rua José Ferreira da Rocha; 651,10h,1,5,Pinheirinho,Inaugurações,Ambos,Pinheirinho,2 days 00:00:00.000000000,nan
1687,Inauguração da nova sede CRAS Cajuru,nan,1,2016-03-03,2016-03-03,Fundação de Ação Social,2016-03-01,CRAS Cajuru,Rua Pedro Violani; 314 - Vila Camargo,15h,1,5,Cajuru,Inaugurações,Ambos,Cajuru,2 days 00:00:00.000000000,nan
1688,Inauguração de CMEI,INAUGURAÇÃO DO CMEI CARLOS BOBERTO ANTUNES DOS SANTOS.,1,2016-03-04,2016-03-04,Secretaria do Governo Municipal,2016-03-01,CMEI Carlos Boberto Antunes dos Santos,Rua Coronel guilherme Teodoro Buest; 610,10h,1,6,Umbará,Inaugurações,Mostrar no Portal PMC,Bairro Novo,3 days 00:00:00.000000000,inauguracao cmei carlos boberto antunes santos
1689,Palestra Empreendorismo Feminino,PALESTRA SOBRE EMPREEDORISMO FEMININO COM GINA PALADINO.,1,2016-03-23,2016-03-23,Secretaria do Governo Municipal,2016-03-01,Rua da Cidadania Carmo ( Auditório 2 ),Marechal Floriano Peixoto 8430,14H30,1,4,Boqueirão,Simpósios/Similares,Ambos,Boqueirão,22 days 00:00:00.000000000,palestra sobre empreedorismo feminino gina paladino
1690,Feira da Curitibana Trabalhadora,NO DIA DA MULHER; A PREFEITURA PROPORCIONA MAIS ACESSO AO MERCADO DE TRABALHO COM AS SEGUINTES ATIVIDADES:- SERVIÇOS DA PREFEITURA DE CURITIBA VOLTADOS À MULHER;- ENCAMINHAMENTO PARA VAGAS DE EMPREGO;- EMISSÃO DE CARTEIRA DE TRABALHO;- QUALIFICAÇÃO PROFISSIONAL.INFORMAÇÕES: 41-3221-2900.ATENÇÃO: NESSE DIA; OS POSTOS DO SINE; NAS RUAS DA CIDANIA; ESTARÃO FUNCIONANDO NORMALMENTE COM ENCAMINHAMENTO PARA VAGAS DE EMPREGO.,1,2016-03-08,2016-03-08,Fundação de Ação Social,2016-03-01,Praça Rui Barbosa,Praça Rui Barbosa,9h às 17h,0,,Centro,Feiras,Ambos,Matriz,7 days 00:00:00.000000000,dia mulher prefeitura proporciona acesso mercado trabalho seguintes atividades servicos prefeitura curitiba voltados mulher encaminhamento vagas emprego emissao carteira trabalho qualificacao nesse dia postos sine ruas cidania estarao funcionando normalmente encaminhamento vagas emprego
1693,Aniversário de Curitiba na Rua da Cidadania do PInheirinho,"PROGRAMAÇÃO:PALCO13H SÉRGIO CARDOSO E SERGINHO COM PARTICIPAÇÃO DE FERNANDA CARDOSO (MÚSICA GOSPEL)13H30MIN RICARDO JANOTTO COM SHOW ""IANOTTO"" (RITMOS DIVERSOS)14H ALLAM E MARKINHOS (SERTANEJO)14H20MIN GABRIEL VIEIRA (SERTANEJO MIRIM)14H40MIN BANDA LIRA CURITIBANA E CORAL NOSSO CANTO DA REGIONAL PINHEIRINHO15H BANDA OMEGA-ROCK16H BANDA BLINDAGEMEXPOSIÇÃO DE CARROS E MOTOS; FESTIVAL DE FOOD TRUCKS; RECREAÇÃO INFANTIL; CORTE DE CABELO E AUTO EXAME DE MAMA.",1,2016-03-12,2016-03-12,Secretaria do Governo Municipal,2016-03-01,Rua da Cidadania do Pinheirinho,Avenida Winston Churchill 2033,13,1,7,Capão Raso,Cultura,Ambos,Pinheirinho,11 days 00:00:00.000000000,programacao sergio cardoso serginho participacao fernanda cardoso musica gospel ricardo janotto show ianotto ritmos diversos allam markinhos sertanejo gabriel vieira sertanejo mirim banda lira curitibana coral canto regional banda banda blindagemexposicao carros motos festival food trucks recreacao infantil corte cabelo auto exame mama
1696,Aniversário de Curitiba - 323 anos,O EVENTO CONTARÁ COM AS SEGUINTES ATIVIDADES:- SHOW COM MARI AMATTI E JEAN GABRIEL- SHOW COM NIVALDO SERGIO E ALESSANDRO- SHOW COM BANDA LEFIGARROO- BRINQUEDOS INFLÁVEIS; MURO DE ESCALADA; CAMA ELÁSTICA; JOGOS GIGANTES; CAMARIM E ATIVIDADES RECRATIVAS- FEIRA DE INFORMAÇÕES- 16H30 HORA DO PARABÉNS COM DISTRIBUIÇÃO DE BOLO,1,2016-03-05,2016-03-05,Secretaria do Governo Municipal,2016-03-02,Rua da Cidadania de Santa Felicidade,Rua Santa Bertila Boscardin; 213,13h30 às 17h,1,7,Santa Felicidade,Eventos Regionais,Ambos,Santa Felicidade,3 days 00:00:00.000000000,evento contara seguintes atividades show mari amatti jean show nivaldo sergio show banda brinquedos inflaveis muro escalada cama elastica jogos gigantes camarim atividades feira hora parabens distribuicao bolo
1698,Dia da Beleza,SERÁ OFERTADO ÀS MULHERES DE SANTA FELICIDADE UMA SESSÃO DE SPA FACIAL;COM SORTEIO DE BRINDES DA MARY KAY.,1,2016-03-11,2016-03-11,Secretaria do Governo Municipal,2016-03-02,Rua da Cidadania de Santa Felicidade,Rua Santa Bertila Boscardin; 213,09h e 14h,1,6,Santa Felicidade,Eventos Regionais,Ambos,Santa Felicidade,9 days 00:00:00.000000000,ofertado mulheres santa felicidade sessao spa facial sorteio brindes mary kay
1699,Dia da Beleza,SERÁ OFERTADO ÀS MULHERES DE SANTA FELICIDADE UMA SESSÃO DE SPA FACIAL;COM SORTEIO DE BRINDES DA MARY KAY.,1,2016-03-18,2016-03-18,Secretaria do Governo Municipal,2016-03-02,Igreja São Pedro,Rua Gerônimo Muraro; 1457 Jardim Pinheiros,14h,1,6,Santa Felicidade,Eventos Regionais,Ambos,Santa Felicidade,16 days 00:00:00.000000000,ofertado mulheres santa felicidade sessao spa facial sorteio brindes mary kay
1700,Palestra com Gina Paladino,PALESTRA COM O TEMA: EMPREENDORISMO FEMININO,1,2016-03-17,2016-03-17,Secretaria do Governo Municipal,2016-03-02,Administração Regional de Santa Felicidade; Auditório I,Rua Santa Bertila Boscardin; 213,14h30 às 17h,1,5,Santa Felicidade,Eventos Regionais,Ambos,Santa Felicidade,15 days 00:00:00.000000000,palestra tema empreendorismo feminino
1701,Apresentação dos Alunos de teclado da Fundação Cultural de Curitiba,"APRESENTAÇÃO DOS ALUNOS DE TECLADO DA FUNDAÇÃO CULTURAL DE CURITIBAEM HOMENAGEM AO ""MÊS DA MULHER"".",1,2016-03-14,2016-03-14,Secretaria do Governo Municipal,2016-03-02,Rua da Cidadania de Santa Felicidade,Rua Santa Bertila Boscardin; 213,10h30,1,2,Santa Felicidade,Cultura,Ambos,Santa Felicidade,12 days 00:00:00.000000000,apresentacao alunos teclado fundacao cultural curitibaem homenagem mes mulher
1702,Apresentação dos alunos de Teclado da Fundação Cultural de Curitiba,"APRESENTAÇÃO DOS ALUNOS DE TECLADO DA FUNDAÇÃO CULTURAL DE CURITIBAEM HOMENAGEM AO ""MÊS DA MULHER"".",1,2016-03-15,2016-03-15,Secretaria do Governo Municipal,2016-03-02,Rua da Cidadania de Santa Felicidade,Rua Santa Bertila Boscardin; 213,16h,1,3,Santa Felicidade,Cultura,Ambos,Santa Felicidade,13 days 00:00:00.000000000,apresentacao alunos teclado fundacao cultural curitibaem homenagem mes mulher
1703,Quinta  no Largo,O EVENTO ACONTECE TODAS AS QUINTAS FEIRAS E TEM AS SEGUINTES ATRAÇÕES :- FEIRA LIVRE.(17:00 H AS 22:00H)- EXPOSIÇÃO DE CARROS ANTIGOS.(19:00 H AS 22:00 H)- FEIRA CULTURAL DA SÃO FRANCISCO.(15:00 H AS 20:00 H),1,2016-03-03,2016-03-31,Secretaria do Governo Municipal,2016-03-02,Largo da Ordem,Da Praça Garibaldi até a Rua:São Francisco,15 h as 22 h,1,5,São Francisco,Lazer,Mostrar no Portal PMC,Matriz,1 days 00:00:00.000000000,evento acontece todas quintas feiras seguintes atracoes feira livre h exposicao carros antigos h h feira cultural francisco h h
