EVE_TITULO;EVE_DATA_INICIO;EVE_DATA_TERMINO;EVE_REPETIR;EVE_DIA;BAI_DESCRICAO;ETE_DESCRICAO;EVE_DESCRICAO_NORM
Festa de Aniversário da Cidade e Aniversário da Rua da Cidadania.;2016-03-20;2016-03-20;1;1;Boqueirão;Eventos Regionais;festa aniversario cidade curitiba anos festa aniversario rua cidadania carmo anos
Inauguração da Casa do Vovô;2016-03-03;2016-03-03;1;5;Pinheirinho;Inaugurações;nan
Inauguração da nova sede CRAS Cajuru;2016-03-03;2016-03-03;1;5;Cajuru;Inaugurações;nan
Inauguração de CMEI;2016-03-04;2016-03-04;1;6;Umbará;Inaugurações;inauguracao cmei carlos boberto antunes santos
Palestra Empreendorismo Feminino;2016-03-23;2016-03-23;1;4;Boqueirão;Simpósios/Similares;palestra sobre empreedorismo feminino gina paladino
Feira da Curitibana Trabalhadora;2016-03-08;2016-03-08;0;*;Centro;Feiras;dia mulher prefeitura proporciona acesso mercado trabalho seguintes atividades servicos prefeitura curitiba voltados mulher encaminhamento vagas emprego emissao carteira trabalho qualificacao nesse dia postos sine ruas cidania estarao funcionando normalmente encaminhamento vagas emprego
Aniversário de Curitiba na Rua da Cidadania do PInheirinho;2016-03-12;2016-03-12;1;7;Capão Raso;Cultura;programacao sergio cardoso serginho participacao fernanda cardoso musica gospel ricardo janotto show ianotto ritmos diversos allam markinhos sertanejo gabriel vieira sertanejo mirim banda lira curitibana coral canto regional banda banda blindagemexposicao carros motos festival food trucks recreacao infantil corte cabelo auto exame mama
Aniversário de Curitiba - 323 anos;2016-03-05;2016-03-05;1;7;Santa Felicidade;Eventos Regionais;evento contara seguintes atividades show mari amatti jean show nivaldo sergio show banda brinquedos inflaveis muro escalada cama elastica jogos gigantes camarim atividades feira hora parabens distribuicao bolo
Dia da Beleza;2016-03-11;2016-03-11;1;6;Santa Felicidade;Eventos Regionais;ofertado mulheres santa felicidade sessao spa facial sorteio brindes mary kay
Dia da Beleza;2016-03-18;2016-03-18;1;6;Santa Felicidade;Eventos Regionais;ofertado mulheres santa felicidade sessao spa facial sorteio brindes mary kay
Palestra com Gina Paladino;2016-03-17;2016-03-17;1;5;Santa Felicidade;Eventos Regionais;palestra tema empreendorismo feminino
Apresentação dos Alunos de teclado da Fundação Cultural de Curitiba;2016-03-14;2016-03-14;1;2;Santa Felicidade;Cultura;apresentacao alunos teclado fundacao cultural curitibaem homenagem mes mulher
Apresentação dos alunos de Teclado da Fundação Cultural de Curitiba;2016-03-15;2016-03-15;1;3;Santa Felicidade;Cultura;apresentacao alunos teclado fundacao cultural curitibaem homenagem mes mulher
Quinta  no Largo;2016-03-03;2016-03-31;1;5;São Francisco;Lazer;evento acontece todas quintas feiras seguintes atracoes feira livre h exposicao carros antigos h h feira cultural francisco h h
Chá e Varal da Poesia;2016-03-08;2016-03-08;1;3;Santa Felicidade;Cultura;leitura poesias poetisas latino americanas homenagem mes mulher
Roda de Leitura;2016-03-09;2016-03-09;1;4;Santa Felicidade;Cultura;roda leitura contos diversos autoras marina colasanti luci collin
Apresentação dos alunos de Violino da Fundação Cultural de Curitiba;2016-03-17;2016-03-17;1;5;Santa Felicidade;Cultura;apresentacao alunos violino fundacao cultural curitibaem homenagem mes mulher
Apresentação do Decreto 140/2016;2016-03-09;2016-03-09;0;*;Tatuquara;Eventos Regionais;apresentacao decreto trata regularizacao edificacoes anteriores apresentacao realizada sr reginaldo cordeiro secretario municipal urbanismo
RMC - CONEXÃO LIDERANÇA - WORKSHOP 1;2016-03-07;2016-03-07;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - CONEXÃO LIDERANÇA - AULA INAUGURAL;2016-03-01;2016-03-01;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas sebrae instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
Inauguração Nossa Feira -  Lindóia;2016-03-03;2016-03-03;1;5;Lindóia;Feiras;programa integra producao regiao metropolitana atraves cooperativas produtores familiares trazendo produtos diretamente itens frutas hortalicas r quilo regulado secretaria municipal abastecimento preco unico principal atrativo deste segmento feiras
Inauguração Nossa Feira - Capão Raso;2016-09-04;2016-09-04;1;6;Capão Raso;Feiras;programa integra producao regiao metropolitana atraves cooperativas produtores familiares trazendo produtos diretamente itens frutas hortalicas r quilo regulado secretaria municipal abastecimento preco unico principal atrativo deste segmento feiras
Inauguração Nossa Feira - Capão raso;2016-03-04;2016-03-04;1;6;Capão Raso;Feiras;programa integra producao regiao metropolitana atraves cooperativas produtores familiares trazendo produtos diretamente itens frutas hortalicas r quilo regulado secretaria municipal abastecimento preco unico principal atrativo deste segmento feiras
RMC -SEMIPRESENCIAL1-A REALIDADE EM FOCO:MUDANÇA COM SUSTENTABILIDADE.;2016-04-05;2016-04-05;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas sebrae instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - WORKSHOP 2 - LIDERANÇA - A SUA MARCA NO DESENVOLVIMENTO LOCAL.;2016-04-26;2016-04-26;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas sebrae instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
"RMC-WORKSHOP 3-PLANEJAMENTO: UM OLHAR NO FUTURO; UMA AÇÃO NO PRESENTE.";2016-05-11;2016-05-11;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - SEMIPRESENCIAL 2 - CANVAS: O DESENHO DO PROJETO.;2016-05-24;2016-05-24;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - WORKSHOP 4 - COMUNICAÇÃO ESTRATÉGICA.;2016-06-14;2016-06-14;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - WORKSHOP 5 - NEGOCIAÇÃO: O DESAFIO DE GANHAR JUNTOS.;2016-07-05;2016-07-05;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - SEMIPRESENCIAL 3 - REUNIÕES EFICAZES: PODER E INFLUÊNCIA.;2016-07-26;2016-07-26;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - WORKSHOP 6 - ALIANÇAS ESTRATÉGICAS: A FORÇA QUE FAZ ACONTECER.;2016-08-16;2016-08-16;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
RMC - WORKSHOP 8 - APRESENTAÇÕES: COMPARTILHANDO OS RESULTADOS.;2016-10-05;2016-10-05;0;*;Prado Velho;Cursos;objetivando desenvolver lideres publicos privados articulem parcerias elaboracao implantacao projetos gerem impactos positivos cenario pequenos negocios contribuindo desenvolvimento sustentavel territorios curso transcorrera meses participacao varias instituicoes publicas instituto municipal administracao publica secretaria assuntos metropolitanosem parceria entidades compoem programa desenvolvimento produtivo integrado regiao metropolitana curitiba
