EVE_IDF,EVE_TITULO,EVE_DATA_INICIO,EVE_DATA_TERMINO,EVE_REPETIR,EVE_DIA,BAI_DESCRICAO,ETE_DESCRICAO
1685,Festa de Aniversário da Cidade e Aniversário da Rua da Cidadania.,2016-03-20,2016-03-20,1,1,Boqueirão,Eventos Regionais
1686,Inauguração da Casa do Vovô,2016-03-03,2016-03-03,1,5,Pinheirinho,Inaugurações
1687,Inauguração da nova sede CRAS Cajuru,2016-03-03,2016-03-03,1,5,Cajuru,Inaugurações
1688,Inauguração de CMEI,2016-03-04,2016-03-04,1,6,Umbará,Inaugurações
1689,Palestra Empreendorismo Feminino,2016-03-23,2016-03-23,1,4,Boqueirão,Simpósios/Similares
1690,Feira da Curitibana Trabalhadora,2016-03-08,2016-03-08,0,,Centro,Feiras
1693,Aniversário de Curitiba na Rua da Cidadania do PInheirinho,2016-03-12,2016-03-12,1,7,Capão Raso,Cultura
1696,Aniversário de Curitiba - 323 anos,2016-03-05,2016-03-05,1,7,Santa Felicidade,Eventos Regionais
1698,Dia da Beleza,2016-03-11,2016-03-11,1,6,Santa Felicidade,Eventos Regionais
1699,Dia da Beleza,2016-03-18,2016-03-18,1,6,Santa Felicidade,Eventos Regionais
1700,Palestra com Gina Paladino,2016-03-17,2016-03-17,1,5,Santa Felicidade,Eventos Regionais
1701,Apresentação dos Alunos de teclado da Fundação Cultural de Curitiba,2016-03-14,2016-03-14,1,2,Santa Felicidade,Cultura
1702,Apresentação dos alunos de Teclado da Fundação Cultural de Curitiba,2016-03-15,2016-03-15,1,3,Santa Felicidade,Cultura
1703,Quinta  no Largo,2016-03-03,2016-03-31,1,5,São Francisco,Lazer
1704,Chá e Varal da Poesia,2016-03-08,2016-03-08,1,3,Santa Felicidade,Cultura
1705,Roda de Leitura,2016-03-09,2016-03-09,1,4,Santa Felicidade,Cultura
1706,Apresentação dos alunos de Violino da Fundação Cultural de Curitiba,2016-03-17,2016-03-17,1,5,Santa Felicidade,Cultura
1708,Apresentação do Decreto 140/2016,2016-03-09,2016-03-09,0,,Tatuquara,Eventos Regionais
1710,RMC - CONEXÃO LIDERANÇA - WORKSHOP 1,2016-03-07,2016-03-07,0,,Prado Velho,Cursos
1711,RMC - CONEXÃO LIDERANÇA - AULA INAUGURAL,2016-03-01,2016-03-01,0,,Prado Velho,Cursos
1712,Inauguração Nossa Feira -  Lindóia,2016-03-03,2016-03-03,1,5,Lindóia,Feiras
1713,Inauguração Nossa Feira - Capão Raso,2016-09-04,2016-09-04,1,6,Capão Raso,Feiras
1714,Inauguração Nossa Feira - Capão raso,2016-03-04,2016-03-04,1,6,Capão Raso,Feiras
1715,RMC -SEMIPRESENCIAL1-A REALIDADE EM FOCO:MUDANÇA COM SUSTENTABILIDADE.,2016-04-05,2016-04-05,0,,Prado Velho,Cursos
1716,RMC - WORKSHOP 2 - LIDERANÇA - A SUA MARCA NO DESENVOLVIMENTO LOCAL.,2016-04-26,2016-04-26,0,,Prado Velho,Cursos
1717,RMC-WORKSHOP 3-PLANEJAMENTO: UM OLHAR NO FUTURO; UMA AÇÃO NO PRESENTE.,2016-05-11,2016-05-11,0,,Prado Velho,Cursos
1718,RMC - SEMIPRESENCIAL 2 - CANVAS: O DESENHO DO PROJETO.,2016-05-24,2016-05-24,0,,Prado Velho,Cursos
1719,RMC - WORKSHOP 4 - COMUNICAÇÃO ESTRATÉGICA.,2016-06-14,2016-06-14,0,,Prado Velho,Cursos
1720,RMC - WORKSHOP 5 - NEGOCIAÇÃO: O DESAFIO DE GANHAR JUNTOS.,2016-07-05,2016-07-05,0,,Prado Velho,Cursos
1721,RMC - SEMIPRESENCIAL 3 - REUNIÕES EFICAZES: PODER E INFLUÊNCIA.,2016-07-26,2016-07-26,0,,Prado Velho,Cursos
1722,RMC - WORKSHOP 6 - ALIANÇAS ESTRATÉGICAS: A FORÇA QUE FAZ ACONTECER.,2016-08-16,2016-08-16,0,,Prado Velho,Cursos
1723,RMC - WORKSHOP 8 - APRESENTAÇÕES: COMPARTILHANDO OS RESULTADOS.,2016-10-05,2016-10-05,0,,Prado Velho,Cursos
1724,RMC - WORKSHOP 7 - A DECISÃO NO TEMPO CERTO.,2016-09-16,2016-09-16,0,,Prado Velho,Cursos
1725,RMC - SEMIPRESENCIAL 4 - STORYTELLING - QUEM CONTA A SUA HISTÓRIA.,2016-10-19,2016-10-19,0,,Prado Velho,Cursos
1726,"Palestra ""Casa da Mulher Brasileira""- Secretária Roseli",2016-03-05,2016-03-05,1,7,Pinheirinho,Eventos Regionais
