,EVE_TITULO,EVE_DATA_INICIO,EVE_DATA_TERMINO,EVE_REPETIR,EVE_DIA,BAI_DESCRICAO,ETE_DESCRICAO
0,Festa de Aniversário da Cidade e Aniversário da Rua da Cidadania.,2016-03-20,2016-03-20,1,1,Boqueirão,Eventos Regionais
1,Inauguração da Casa do Vovô,2016-03-03,2016-03-03,1,5,Pinheirinho,Inaugurações
2,Inauguração da nova sede CRAS Cajuru,2016-03-03,2016-03-03,1,5,Cajuru,Inaugurações
3,Inauguração de CMEI,2016-03-04,2016-03-04,1,6,Umbará,Inaugurações
4,Palestra Empreendorismo Feminino,2016-03-23,2016-03-23,1,4,Boqueirão,Simpósios/Similares
5,Feira da Curitibana Trabalhadora,2016-03-08,2016-03-08,0,,Centro,Feiras
6,Aniversário de Curitiba na Rua da Cidadania do PInheirinho,2016-03-12,2016-03-12,1,7,Capão Raso,Cultura
7,Aniversário de Curitiba - 323 anos,2016-03-05,2016-03-05,1,7,Santa Felicidade,Eventos Regionais
8,Dia da Beleza,2016-03-11,2016-03-11,1,6,Santa Felicidade,Eventos Regionais
9,Dia da Beleza,2016-03-18,2016-03-18,1,6,Santa Felicidade,Eventos Regionais
10,Palestra com Gina Paladino,2016-03-17,2016-03-17,1,5,Santa Felicidade,Eventos Regionais
11,Apresentação dos Alunos de teclado da Fundação Cultural de Curitiba,2016-03-14,2016-03-14,1,2,Santa Felicidade,Cultura
12,Apresentação dos alunos de Teclado da Fundação Cultural de Curitiba,2016-03-15,2016-03-15,1,3,Santa Felicidade,Cultura
13,Quinta  no Largo,2016-03-03,2016-03-31,1,5,São Francisco,Lazer
14,Chá e Varal da Poesia,2016-03-08,2016-03-08,1,3,Santa Felicidade,Cultura
15,Roda de Leitura,2016-03-09,2016-03-09,1,4,Santa Felicidade,Cultura
16,Apresentação dos alunos de Violino da Fundação Cultural de Curitiba,2016-03-17,2016-03-17,1,5,Santa Felicidade,Cultura
17,Apresentação do Decreto 140/2016,2016-03-09,2016-03-09,0,,Tatuquara,Eventos Regionais
18,RMC - CONEXÃO LIDERANÇA - WORKSHOP 1,2016-03-07,2016-03-07,0,,Prado Velho,Cursos
19,RMC - CONEXÃO LIDERANÇA - AULA INAUGURAL,2016-03-01,2016-03-01,0,,Prado Velho,Cursos
20,Inauguração Nossa Feira -  Lindóia,2016-03-03,2016-03-03,1,5,Lindóia,Feiras
21,Inauguração Nossa Feira - Capão Raso,2016-09-04,2016-09-04,1,6,Capão Raso,Feiras
22,Inauguração Nossa Feira - Capão raso,2016-03-04,2016-03-04,1,6,Capão Raso,Feiras
23,RMC -SEMIPRESENCIAL1-A REALIDADE EM FOCO:MUDANÇA COM SUSTENTABILIDADE.,2016-04-05,2016-04-05,0,,Prado Velho,Cursos
24,RMC - WORKSHOP 2 - LIDERANÇA - A SUA MARCA NO DESENVOLVIMENTO LOCAL.,2016-04-26,2016-04-26,0,,Prado Velho,Cursos
25,RMC-WORKSHOP 3-PLANEJAMENTO: UM OLHAR NO FUTURO; UMA AÇÃO NO PRESENTE.,2016-05-11,2016-05-11,0,,Prado Velho,Cursos
26,RMC - SEMIPRESENCIAL 2 - CANVAS: O DESENHO DO PROJETO.,2016-05-24,2016-05-24,0,,Prado Velho,Cursos
27,RMC - WORKSHOP 4 - COMUNICAÇÃO ESTRATÉGICA.,2016-06-14,2016-06-14,0,,Prado Velho,Cursos
28,RMC - WORKSHOP 5 - NEGOCIAÇÃO: O DESAFIO DE GANHAR JUNTOS.,2016-07-05,2016-07-05,0,,Prado Velho,Cursos
29,RMC - SEMIPRESENCIAL 3 - REUNIÕES EFICAZES: PODER E INFLUÊNCIA.,2016-07-26,2016-07-26,0,,Prado Velho,Cursos
30,RMC - WORKSHOP 6 - ALIANÇAS ESTRATÉGICAS: A FORÇA QUE FAZ ACONTECER.,2016-08-16,2016-08-16,0,,Prado Velho,Cursos
31,RMC - WORKSHOP 8 - APRESENTAÇÕES: COMPARTILHANDO OS RESULTADOS.,2016-10-05,2016-10-05,0,,Prado Velho,Cursos
32,RMC - WORKSHOP 7 - A DECISÃO NO TEMPO CERTO.,2016-09-16,2016-09-16,0,,Prado Velho,Cursos
33,RMC - SEMIPRESENCIAL 4 - STORYTELLING - QUEM CONTA A SUA HISTÓRIA.,2016-10-19,2016-10-19,0,,Prado Velho,Cursos
34,"Palestra ""Casa da Mulher Brasileira""- Secretária Roseli",2016-03-05,2016-03-05,1,7,Pinheirinho,Eventos Regionais
35,"Palestra ""Autonomia Econômica Feminina e Violência Contra a Mulher""",2016-03-07,2016-03-07,1,2,Rebouças,Simpósios/Similares
36,Ciclo de Debates Estado Planejamento e Administração Pública no Brasil,2016-03-17,2016-03-17,0,,Santo Inácio,Cursos
